,year,path,waypoint,lat,lon
558,2025,9,35,42.39586,-76.88727
559,2025,9,36,42.39557,-76.88703
560,2025,9,37,42.39479,-76.88623
561,2025,9,38,42.39193,-76.88324
562,2025,9,39,42.39161,-76.88287
563,2025,9,40,42.39146,-76.88261
564,2025,9,41,42.39007,-76.88122
565,2025,9,42,42.3901,-76.88107
566,2025,9,43,42.38975,-76.88021
567,2025,9,44,42.38965,-76.87984
568,2025,9,45,42.38873,-76.87918
569,2025,9,46,42.38784,-76.87857
570,2025,9,47,42.38746,-76.87832
571,2025,9,48,42.38703,-76.87807
572,2025,9,49,42.38674,-76.87797
573,2025,9,50,42.38643,-76.87771
574,2025,9,51,42.38608,-76.87746
575,2025,9,52,42.38574,-76.87725
576,2025,9,53,42.38492,-76.87678
577,2025,9,54,42.38424,-76.8764
578,2025,9,55,42.38399,-76.87624
579,2025,9,56,42.3839,-76.87616
580,2025,9,57,42.38376,-76.87591
581,2025,9,58,42.3836,-76.87558
582,2025,9,59,42.38355,-76.87531
583,2025,9,60,42.3834,-76.87498
584,2025,9,61,42.38314,-76.87481
585,2025,9,62,42.3828,-76.8746
586,2025,9,63,42.38246,-76.87443
587,2025,9,64,42.38221,-76.87429
588,2025,9,65,42.38198,-76.87417
589,2025,9,66,42.38162,-76.87397
590,2025,9,67,42.38127,-76.8738
591,2025,9,68,42.38104,-76.87369
592,2025,9,69,42.3808,-76.87356
593,2025,9,70,42.38058,-76.87346
594,2025,9,71,42.38088,-76.87253
595,2025,9,72,42.38118,-76.87153
596,2025,9,73,42.38165,-76.86995
597,2025,9,74,42.38187,-76.86926
598,2025,9,75,42.38201,-76.86869
599,2025,9,76,42.38227,-76.86779
600,2025,9,77,42.38264,-76.86665
601,2025,9,78,42.38317,-76.86488
602,2025,9,79,42.38359,-76.86342
603,2025,9,80,42.38377,-76.86285
604,2025,9,81,42.38395,-76.86229
605,2025,9,82,42.38413,-76.86175
606,2025,9,83,42.38427,-76.86124
607,2025,9,84,42.38443,-76.86071
608,2025,9,85,42.38454,-76.86033
